id,lease_id,billing_month,due_date,base_rent,water_amount,interest,total_due,status,rent_paid,water_paid,rent_paid_at,water_paid_at,paid_at,payment_reference,water_computed_from_system,source_water_reading_id
2476,167,2026-03-01,2026-03-15,20093.00,2039.40,5425.11,27557.51,UNPAID,0.00,0.00,,,,,True,2008
2296,162,2026-03-01,2026-03-05,19048.00,1720.35,0.00,20768.35,PAID,19048.00,1720.35,,,2026-03-05 00:00:00+00:00,REF-20260305-2296,True,1828
2692,173,2026-03-01,2026-03-05,24361.00,1864.35,0.00,26225.35,PAID,24361.00,1864.35,,,2026-05-04 00:00:00+00:00,REF-20260504-2692,True,2224
2044,155,2026-03-01,2026-03-15,20483.00,3003.75,0.00,23486.75,PAID,20483.00,3003.75,,,2026-03-15 00:00:00+00:00,REF-20260315-2044,True,1576
1936,152,2026-03-01,2026-03-10,8991.00,2650.05,0.00,11641.05,PAID,8991.00,2650.05,,,2026-03-10 00:00:00+00:00,REF-20260310-1936,True,1468
1684,145,2026-03-01,2026-03-10,24585.00,1862.55,0.00,26447.55,PAID,24585.00,1862.55,,,2026-03-10 00:00:00+00:00,REF-20260310-1684,True,1216
1756,147,2026-03-01,2026-03-15,13413.00,1350.00,0.00,14763.00,PAID,13413.00,1350.00,,,2026-03-20 00:00:00+00:00,REF-20260320-1756,True,1288
2368,164,2026-03-01,2026-03-10,9196.00,2347.20,2758.80,14302.00,UNPAID,0.00,0.00,,,,,True,1900
2332,163,2026-03-01,2026-03-15,15487.00,2836.35,4181.49,22504.84,UNPAID,0.00,0.00,,,,,True,1864
2008,154,2026-03-01,2026-03-10,15421.00,1915.65,0.00,17336.65,PAID,15421.00,1915.65,,,2026-03-10 00:00:00+00:00,REF-20260310-2008,True,1540
2224,160,2026-03-01,2026-03-05,13039.00,1776.60,4302.87,19118.47,UNPAID,0.00,0.00,,,,,True,1756
2944,180,2026-03-01,2026-03-15,18152.00,3427.20,0.00,21579.20,PAID,18152.00,3427.20,,,2026-03-15 00:00:00+00:00,REF-20260315-2944,True,2476
2152,158,2026-03-01,2026-03-15,18790.00,1453.50,5073.30,25316.80,UNPAID,0.00,0.00,,,,,True,1684
2764,175,2026-03-01,2026-03-15,11675.00,2588.40,0.00,14263.40,PAID,11675.00,2588.40,,,2026-03-15 00:00:00+00:00,REF-20260315-2764,True,2296
3016,182,2026-03-01,2026-03-15,15393.00,3018.15,0.00,18411.15,PAID,15393.00,3018.15,,,2026-03-15 00:00:00+00:00,REF-20260315-3016,True,2548
1972,153,2026-03-01,2026-03-05,8589.00,3283.20,2834.37,14706.57,UNPAID,0.00,0.00,,,,,True,1504
2116,157,2026-03-01,2026-03-10,16615.00,3418.65,0.00,20033.65,PAID,16615.00,3418.65,,,2026-03-10 00:00:00+00:00,REF-20260310-2116,True,1648
2800,176,2026-03-01,2026-03-15,10789.00,2790.00,0.00,13579.00,PAID,10789.00,2790.00,,,2026-03-15 00:00:00+00:00,REF-20260315-2800,True,2332
1900,151,2026-03-01,2026-03-10,22061.00,1350.00,6618.30,30029.30,UNPAID,0.00,0.00,,,,,True,1432
1828,149,2026-03-01,2026-03-10,12918.00,2662.20,3875.40,19455.60,UNPAID,0.00,0.00,,,,,True,1360
2079,156,2026-02-01,2026-02-15,16423.00,2079.45,0.00,18502.45,PAID,16423.00,2079.45,,,2026-02-18 00:00:00+00:00,REF-20260218-2079,True,1611
2907,179,2026-02-01,2026-02-10,12137.00,1581.75,0.00,13718.75,PAID,12137.00,1581.75,,,2026-02-10 00:00:00+00:00,REF-20260210-2907,True,2439
2259,161,2026-02-01,2026-02-10,8100.00,2246.40,0.00,10346.40,PAID,8100.00,2246.40,,,2026-02-16 00:00:00+00:00,REF-20260216-2259,True,1791
2763,175,2026-02-01,2026-02-15,11675.00,2661.30,0.00,14336.30,PAID,11675.00,2661.30,,,2026-02-17 00:00:00+00:00,REF-20260217-2763,True,2295
2475,167,2026-02-01,2026-02-15,20093.00,2045.70,0.00,22138.70,PAID,20093.00,2045.70,,,2026-02-15 00:00:00+00:00,REF-20260215-2475,True,2007
2799,176,2026-02-01,2026-02-15,10789.00,2372.40,0.00,13161.40,PAID,10789.00,2372.40,,,2026-02-15 00:00:00+00:00,REF-20260215-2799,True,2331
2115,157,2026-02-01,2026-02-10,16615.00,2191.95,0.00,18806.95,PAID,16615.00,2191.95,,,2026-02-10 00:00:00+00:00,REF-20260210-2115,True,1647
1791,148,2026-02-01,2026-02-10,12762.00,2132.55,0.00,14894.55,PAID,12762.00,2132.55,,,2026-02-17 00:00:00+00:00,REF-20260217-1791,True,1323
2547,169,2026-02-01,2026-02-15,12907.00,3080.25,0.00,15987.25,PAID,12907.00,3080.25,,,2026-02-21 00:00:00+00:00,REF-20260221-2547,True,2079
2043,155,2026-02-01,2026-02-15,20483.00,2772.90,0.00,23255.90,PAID,20483.00,2772.90,,,2026-02-19 00:00:00+00:00,REF-20260219-2043,True,1575
2367,164,2026-02-01,2026-02-10,9196.00,2440.35,0.00,11636.35,PAID,9196.00,2440.35,,,2026-02-23 00:00:00+00:00,REF-20260223-2367,True,1899
1935,152,2026-02-01,2026-02-10,8991.00,2162.70,0.00,11153.70,PAID,8991.00,2162.70,,,2026-02-10 00:00:00+00:00,REF-20260210-1935,True,1467
1899,151,2026-02-01,2026-02-10,22061.00,1558.35,0.00,23619.35,PAID,22061.00,1558.35,,,2026-02-10 00:00:00+00:00,REF-20260210-1899,True,1431
1683,145,2026-02-01,2026-02-10,24585.00,2544.75,0.00,27129.75,PAID,24585.00,2544.75,,,2026-02-10 00:00:00+00:00,REF-20260210-1683,True,1215
3015,182,2026-02-01,2026-02-15,15393.00,1958.85,0.00,17351.85,PAID,15393.00,1958.85,,,2026-02-15 00:00:00+00:00,REF-20260215-3015,True,2547
2583,170,2026-02-01,2026-02-10,21005.00,2440.35,0.00,23445.35,PAID,21005.00,2440.35,,,2026-02-16 00:00:00+00:00,REF-20260216-2583,True,2115
2187,159,2026-02-01,2026-02-05,22110.00,2676.15,0.00,24786.15,PAID,22110.00,2676.15,,,2026-02-05 00:00:00+00:00,REF-20260205-2187,True,1719
2727,174,2026-02-01,2026-02-10,15982.00,3501.45,0.00,19483.45,PAID,15982.00,3501.45,,,2026-02-23 00:00:00+00:00,REF-20260223-2727,True,2259
2835,177,2026-02-01,2026-02-05,8325.00,1905.30,0.00,10230.30,PAID,8325.00,1905.30,,,2026-02-05 00:00:00+00:00,REF-20260205-2835,True,2367
2619,171,2026-02-01,2026-02-05,9680.00,1941.75,0.00,11621.75,PAID,9680.00,1941.75,,,2026-02-11 00:00:00+00:00,REF-20260211-2619,True,2151
1863,150,2026-02-01,2026-02-05,12073.00,1961.10,0.00,14034.10,PAID,12073.00,1961.10,,,2026-02-05 00:00:00+00:00,REF-20260205-1863,True,1395
2223,160,2026-02-01,2026-02-05,13039.00,2298.15,0.00,15337.15,PAID,13039.00,2298.15,,,2026-04-01 00:00:00+00:00,REF-20260401-2223,True,1755
1971,153,2026-02-01,2026-02-05,8589.00,2440.80,0.00,11029.80,PAID,8589.00,2440.80,,,2026-02-12 00:00:00+00:00,REF-20260212-1971,True,1503
1719,146,2026-02-01,2026-02-10,12967.00,3013.65,0.00,15980.65,PAID,12967.00,3013.65,,,2026-02-17 00:00:00+00:00,REF-20260217-1719,True,1251
2511,168,2026-02-01,2026-02-10,8811.00,2097.45,0.00,10908.45,PAID,8811.00,2097.45,,,2026-02-10 00:00:00+00:00,REF-20260210-2511,True,2043
2979,181,2026-02-01,2026-02-10,10986.00,2069.55,0.00,13055.55,PAID,10986.00,2069.55,,,2026-02-10 00:00:00+00:00,REF-20260210-2979,True,2511
2871,178,2026-02-01,2026-02-15,13339.00,1859.40,0.00,15198.40,PAID,13339.00,1859.40,,,2026-02-15 00:00:00+00:00,REF-20260215-2871,True,2403
2655,172,2026-02-01,2026-02-15,14372.00,1764.45,0.00,16136.45,PAID,14372.00,1764.45,,,2026-02-15 00:00:00+00:00,REF-20260215-2655,True,2187
2439,166,2026-02-01,2026-02-10,15261.00,2606.85,0.00,17867.85,PAID,15261.00,2606.85,,,2026-02-17 00:00:00+00:00,REF-20260217-2439,True,1971
3051,183,2026-02-01,2026-02-10,17289.00,2439.00,0.00,19728.00,PAID,17289.00,2439.00,,,2026-02-10 00:00:00+00:00,REF-20260210-3051,True,2583
2151,158,2026-02-01,2026-02-15,18790.00,1887.30,0.00,20677.30,PAID,18790.00,1887.30,,,2026-02-15 00:00:00+00:00,REF-20260215-2151,True,1683
1827,149,2026-02-01,2026-02-10,12918.00,1350.00,0.00,14268.00,PAID,12918.00,1350.00,,,2026-02-10 00:00:00+00:00,REF-20260210-1827,True,1359
2331,163,2026-02-01,2026-02-15,15487.00,2495.70,0.00,17982.70,PAID,15487.00,2495.70,,,2026-02-15 00:00:00+00:00,REF-20260215-2331,True,1863
2007,154,2026-02-01,2026-02-10,15421.00,2493.45,0.00,17914.45,PAID,15421.00,2493.45,,,2026-02-13 00:00:00+00:00,REF-20260213-2007,True,1539
1755,147,2026-02-01,2026-02-15,13413.00,2700.90,0.00,16113.90,PAID,13413.00,2700.90,,,2026-02-15 00:00:00+00:00,REF-20260215-1755,True,1287
2691,173,2026-02-01,2026-02-05,24361.00,1350.00,0.00,25711.00,PAID,24361.00,1350.00,,,2026-02-05 00:00:00+00:00,REF-20260205-2691,True,2223
2943,180,2026-02-01,2026-02-15,18152.00,2008.80,0.00,20160.80,PAID,18152.00,2008.80,,,2026-02-15 00:00:00+00:00,REF-20260215-2943,True,2475
2403,165,2026-02-01,2026-02-10,18241.00,1867.95,0.00,20108.95,PAID,18241.00,1867.95,,,2026-02-10 00:00:00+00:00,REF-20260210-2403,True,1935
2295,162,2026-02-01,2026-02-05,19048.00,1988.10,0.00,21036.10,PAID,19048.00,1988.10,,,2026-02-05 00:00:00+00:00,REF-20260205-2295,True,1827
1934,152,2026-01-01,2026-01-10,8991.00,2695.95,0.00,11686.95,PAID,8991.00,2695.95,,,2026-01-10 00:00:00+00:00,REF-20260110-1934,True,1466
2366,164,2026-01-01,2026-01-10,9196.00,2730.15,0.00,11926.15,PAID,9196.00,2730.15,,,2026-01-10 00:00:00+00:00,REF-20260110-2366,True,1898
1970,153,2026-01-01,2026-01-05,8589.00,1350.00,0.00,9939.00,PAID,8589.00,1350.00,,,2026-01-05 00:00:00+00:00,REF-20260105-1970,True,1502
2762,175,2026-01-01,2026-01-15,11675.00,2133.45,0.00,13808.45,PAID,11675.00,2133.45,,,2026-01-17 00:00:00+00:00,REF-20260117-2762,True,2294
2150,158,2026-01-01,2026-01-15,18790.00,2615.85,0.00,21405.85,PAID,18790.00,2615.85,,,2026-01-15 00:00:00+00:00,REF-20260115-2150,True,1682
1682,145,2026-01-01,2026-01-10,24585.00,2918.70,0.00,27503.70,PAID,24585.00,2918.70,,,2026-01-10 00:00:00+00:00,REF-20260110-1682,True,1214
2330,163,2026-01-01,2026-01-15,15487.00,1744.20,0.00,17231.20,PAID,15487.00,1744.20,,,2026-01-15 00:00:00+00:00,REF-20260115-2330,True,1862
3014,182,2026-01-01,2026-01-15,15393.00,1579.50,0.00,16972.50,PAID,15393.00,1579.50,,,2026-01-15 00:00:00+00:00,REF-20260115-3014,True,2546
2618,171,2026-01-01,2026-01-05,9680.00,2039.40,0.00,11719.40,PAID,9680.00,2039.40,,,2026-01-12 00:00:00+00:00,REF-20260112-2618,True,2150
1718,146,2026-01-01,2026-01-10,12967.00,2609.10,0.00,15576.10,PAID,12967.00,2609.10,,,2026-01-10 00:00:00+00:00,REF-20260110-1718,True,1250
2978,181,2026-01-01,2026-01-10,10986.00,3221.55,0.00,14207.55,PAID,10986.00,3221.55,,,2026-01-10 00:00:00+00:00,REF-20260110-2978,True,2510
2438,166,2026-01-01,2026-01-10,15261.00,1836.90,0.00,17097.90,PAID,15261.00,1836.90,,,2026-01-10 00:00:00+00:00,REF-20260110-2438,True,1970
2294,162,2026-01-01,2026-01-05,19048.00,1569.15,0.00,20617.15,PAID,19048.00,1569.15,,,2026-01-05 00:00:00+00:00,REF-20260105-2294,True,1826
2654,172,2026-01-01,2026-01-15,14372.00,2785.95,0.00,17157.95,PAID,14372.00,2785.95,,,2026-01-15 00:00:00+00:00,REF-20260115-2654,True,2186
1754,147,2026-01-01,2026-01-15,13413.00,2113.20,0.00,15526.20,PAID,13413.00,2113.20,,,2026-01-15 00:00:00+00:00,REF-20260115-1754,True,1286
2690,173,2026-01-01,2026-01-05,24361.00,1999.35,0.00,26360.35,PAID,24361.00,1999.35,,,2026-01-05 00:00:00+00:00,REF-20260105-2690,True,2222
2942,180,2026-01-01,2026-01-15,18152.00,1660.05,0.00,19812.05,PAID,18152.00,1660.05,,,2026-01-15 00:00:00+00:00,REF-20260115-2942,True,2474
3050,183,2026-01-01,2026-01-10,17289.00,2261.70,0.00,19550.70,PAID,17289.00,2261.70,,,2026-01-10 00:00:00+00:00,REF-20260110-3050,True,2582
2474,167,2026-01-01,2026-01-15,20093.00,1924.20,0.00,22017.20,PAID,20093.00,1924.20,,,2026-01-15 00:00:00+00:00,REF-20260115-2474,True,2006
2402,165,2026-01-01,2026-01-10,18241.00,2453.40,0.00,20694.40,PAID,18241.00,2453.40,,,2026-01-10 00:00:00+00:00,REF-20260110-2402,True,1934
2114,157,2026-01-01,2026-01-10,16615.00,2191.05,0.00,18806.05,PAID,16615.00,2191.05,,,2026-01-16 00:00:00+00:00,REF-20260116-2114,True,1646
2906,179,2026-01-01,2026-01-10,12137.00,1390.95,0.00,13527.95,PAID,12137.00,1390.95,,,2026-01-10 00:00:00+00:00,REF-20260110-2906,True,2438
2258,161,2026-01-01,2026-01-10,8100.00,2394.00,0.00,10494.00,PAID,8100.00,2394.00,,,2026-01-10 00:00:00+00:00,REF-20260110-2258,True,1790
2006,154,2026-01-01,2026-01-10,15421.00,2068.65,0.00,17489.65,PAID,15421.00,2068.65,,,2026-01-15 00:00:00+00:00,REF-20260115-2006,True,1538
1826,149,2026-01-01,2026-01-10,12918.00,1350.00,0.00,14268.00,PAID,12918.00,1350.00,,,2026-01-13 00:00:00+00:00,REF-20260113-1826,True,1358
2870,178,2026-01-01,2026-01-15,13339.00,2412.45,0.00,15751.45,PAID,13339.00,2412.45,,,2026-01-15 00:00:00+00:00,REF-20260115-2870,True,2402
2510,168,2026-01-01,2026-01-10,8811.00,1659.15,0.00,10470.15,PAID,8811.00,1659.15,,,2026-01-10 00:00:00+00:00,REF-20260110-2510,True,2042
1862,150,2026-01-01,2026-01-05,12073.00,2626.20,0.00,14699.20,PAID,12073.00,2626.20,,,2026-01-05 00:00:00+00:00,REF-20260105-1862,True,1394
2222,160,2026-01-01,2026-01-05,13039.00,2218.50,0.00,15257.50,PAID,13039.00,2218.50,,,2026-01-05 00:00:00+00:00,REF-20260105-2222,True,1754
2726,174,2026-01-01,2026-01-10,15982.00,1441.35,0.00,17423.35,PAID,15982.00,1441.35,,,2026-01-10 00:00:00+00:00,REF-20260110-2726,True,2258
2834,177,2026-01-01,2026-01-05,8325.00,1820.70,0.00,10145.70,PAID,8325.00,1820.70,,,2026-01-05 00:00:00+00:00,REF-20260105-2834,True,2366
2078,156,2026-01-01,2026-01-15,16423.00,2573.55,0.00,18996.55,PAID,16423.00,2573.55,,,2026-01-15 00:00:00+00:00,REF-20260115-2078,True,1610
1898,151,2026-01-01,2026-01-10,22061.00,2689.20,0.00,24750.20,PAID,22061.00,2689.20,,,2026-01-10 00:00:00+00:00,REF-20260110-1898,True,1430
2546,169,2026-01-01,2026-01-15,12907.00,2597.40,0.00,15504.40,PAID,12907.00,2597.40,,,2026-01-15 00:00:00+00:00,REF-20260115-2546,True,2078
2798,176,2026-01-01,2026-01-15,10789.00,3272.85,0.00,14061.85,PAID,10789.00,3272.85,,,2026-01-15 00:00:00+00:00,REF-20260115-2798,True,2330
2042,155,2026-01-01,2026-01-15,20483.00,2778.30,0.00,23261.30,PAID,20483.00,2778.30,,,2026-01-15 00:00:00+00:00,REF-20260115-2042,True,1574
2582,170,2026-01-01,2026-01-10,21005.00,1350.00,0.00,22355.00,PAID,21005.00,1350.00,,,2026-01-10 00:00:00+00:00,REF-20260110-2582,True,2114
2186,159,2026-01-01,2026-01-05,22110.00,2417.85,0.00,24527.85,PAID,22110.00,2417.85,,,2026-01-31 00:00:00+00:00,REF-20260131-2186,True,1718
1790,148,2026-01-01,2026-01-10,12762.00,2150.10,0.00,14912.10,PAID,12762.00,2150.10,,,2026-01-10 00:00:00+00:00,REF-20260110-1790,True,1322
1789,148,2025-12-01,2025-12-10,12762.00,2426.40,0.00,15188.40,PAID,12762.00,2426.40,,,2025-12-10 00:00:00+00:00,REF-20251210-1789,True,1321
1717,146,2025-12-01,2025-12-10,12967.00,2093.40,0.00,15060.40,PAID,12967.00,2093.40,,,2025-12-10 00:00:00+00:00,REF-20251210-1717,True,1249
2653,172,2025-12-01,2025-12-15,14372.00,2729.25,0.00,17101.25,PAID,14372.00,2729.25,,,2025-12-19 00:00:00+00:00,REF-20251219-2653,True,2185
1825,149,2025-12-01,2025-12-10,12918.00,2277.90,0.00,15195.90,PAID,12918.00,2277.90,,,2025-12-10 00:00:00+00:00,REF-20251210-1825,True,1357
2149,158,2025-12-01,2025-12-15,18790.00,1350.00,0.00,20140.00,PAID,18790.00,1350.00,,,2025-12-15 00:00:00+00:00,REF-20251215-2149,True,1681
3013,182,2025-12-01,2025-12-15,15393.00,3207.15,0.00,18600.15,PAID,15393.00,3207.15,,,2025-12-15 00:00:00+00:00,REF-20251215-3013,True,2545
2473,167,2025-12-01,2025-12-15,20093.00,2472.30,0.00,22565.30,PAID,20093.00,2472.30,,,2025-12-15 00:00:00+00:00,REF-20251215-2473,True,2005
2725,174,2025-12-01,2025-12-10,15982.00,1741.05,0.00,17723.05,PAID,15982.00,1741.05,,,2025-12-10 00:00:00+00:00,REF-20251210-2725,True,2257
2077,156,2025-12-01,2025-12-15,16423.00,2646.00,0.00,19069.00,PAID,16423.00,2646.00,,,2026-01-12 00:00:00+00:00,REF-20260112-2077,True,1609
2329,163,2025-12-01,2025-12-15,15487.00,1921.05,0.00,17408.05,PAID,15487.00,1921.05,,,2025-12-15 00:00:00+00:00,REF-20251215-2329,True,1861
2689,173,2025-12-01,2025-12-05,24361.00,1873.80,0.00,26234.80,PAID,24361.00,1873.80,,,2025-12-05 00:00:00+00:00,REF-20251205-2689,True,2221
