id,tenant_id,lease_id,category,title,description,status,priority,created_at,updated_at,resolved_at
806,196,168,OTHER,OTHER Issue - Unit 404,Bad smell in hallway near Unit 404,RESOLVED,LOW,2026-05-14 17:39:14.833938+00:00,2026-05-14 17:39:14.833953+00:00,
807,204,176,OTHER,OTHER Issue - Unit 502,Aircon leaking in Unit 502 bedroom,RESOLVED,MEDIUM,2026-05-14 17:39:14.888541+00:00,2026-05-14 17:39:14.888556+00:00,
808,186,158,ELECTRICAL,ELECTRICAL Issue - Unit 304,Bathroom light burned out in Unit 304,RESOLVED,HIGH,2026-05-14 17:39:14.996905+00:00,2026-05-14 17:39:14.996916+00:00,
809,196,168,PLUMBING,PLUMBING Issue - Unit 404,Low water pressure in shower of Unit 404,IN_PROGRESS,MEDIUM,2026-05-14 17:39:15.051409+00:00,2026-05-14 17:39:15.051419+00:00,
810,197,169,OTHER,OTHER Issue - Unit 405,Neighbors too noisy during midnight in Unit 405,RESOLVED,HIGH,2026-05-14 17:39:15.106226+00:00,2026-05-14 17:39:15.106238+00:00,
811,175,147,PLUMBING,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,RESOLVED,HIGH,2026-05-14 17:39:15.160264+00:00,2026-05-14 17:39:15.160274+00:00,
812,188,160,ELECTRICAL,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,RESOLVED,MEDIUM,2026-05-14 17:39:15.214270+00:00,2026-05-14 17:39:15.214279+00:00,
813,182,154,STRUCTURAL,STRUCTURAL Issue - Unit 210,Wall crack appearing in Unit 210 bedroom,IN_PROGRESS,HIGH,2026-05-14 17:39:15.268999+00:00,2026-05-14 17:39:15.269013+00:00,
814,181,153,OTHER,OTHER Issue - Unit 209,Cockroaches seen near kitchen cabinet in Unit 209,RESOLVED,HIGH,2026-05-14 17:39:15.326695+00:00,2026-05-14 17:39:15.326707+00:00,
815,174,146,ELECTRICAL,ELECTRICAL Issue - Unit 202,Bathroom light burned out in Unit 202,IN_PROGRESS,MEDIUM,2026-05-14 17:39:15.381510+00:00,2026-05-14 17:39:15.381522+00:00,
816,187,159,OTHER,OTHER Issue - Unit 305,Neighbors too noisy during midnight in Unit 305,IN_PROGRESS,MEDIUM,2026-05-14 17:39:15.490243+00:00,2026-05-14 17:39:15.490259+00:00,
817,202,174,OTHER,OTHER Issue - Unit 410,Cockroaches seen near kitchen cabinet in Unit 410,IN_PROGRESS,MEDIUM,2026-05-14 17:39:15.599753+00:00,2026-05-14 17:39:15.599765+00:00,
818,191,163,ELECTRICAL,ELECTRICAL Issue - Unit 309,Circuit breaker keeps tripping in Unit 309,OPEN,HIGH,2026-05-14 17:39:15.654198+00:00,2026-05-14 17:39:15.654207+00:00,
819,195,167,OTHER,OTHER Issue - Unit 403,Aircon leaking in Unit 403 bedroom,RESOLVED,LOW,2026-05-14 17:39:15.762709+00:00,2026-05-14 17:39:15.762724+00:00,
820,191,163,STRUCTURAL,STRUCTURAL Issue - Unit 309,Door frame damaged in Unit 309,IN_PROGRESS,HIGH,2026-05-14 17:39:15.816967+00:00,2026-05-14 17:39:15.816979+00:00,
821,193,165,STRUCTURAL,STRUCTURAL Issue - Unit 401,Door frame damaged in Unit 401,OPEN,HIGH,2026-05-14 17:39:15.871116+00:00,2026-05-14 17:39:15.871134+00:00,
822,209,181,STRUCTURAL,STRUCTURAL Issue - Unit 507,Door frame damaged in Unit 507,RESOLVED,LOW,2026-05-14 17:39:15.979913+00:00,2026-05-14 17:39:15.979923+00:00,
823,180,152,OTHER,OTHER Issue - Unit 208,Neighbors too noisy during midnight in Unit 208,RESOLVED,MEDIUM,2026-05-14 17:39:16.034179+00:00,2026-05-14 17:39:16.034193+00:00,
824,188,160,STRUCTURAL,STRUCTURAL Issue - Unit 306,Crack near window in Unit 306 after heavy rain,RESOLVED,LOW,2026-05-14 17:39:16.088573+00:00,2026-05-14 17:39:16.088584+00:00,
825,197,169,OTHER,OTHER Issue - Unit 405,Cockroaches seen near kitchen cabinet in Unit 405,IN_PROGRESS,MEDIUM,2026-05-14 17:39:16.143051+00:00,2026-05-14 17:39:16.143065+00:00,
826,196,168,PLUMBING,PLUMBING Issue - Unit 404,Bathroom sink clogged in Unit 404,OPEN,LOW,2026-05-14 17:39:16.197402+00:00,2026-05-14 17:39:16.197414+00:00,
827,186,158,OTHER,OTHER Issue - Unit 304,Aircon leaking in Unit 304 bedroom,OPEN,LOW,2026-05-14 17:39:16.252331+00:00,2026-05-14 17:39:16.252344+00:00,
828,201,173,ELECTRICAL,ELECTRICAL Issue - Unit 409,Bathroom light burned out in Unit 409,IN_PROGRESS,HIGH,2026-05-14 17:39:16.361859+00:00,2026-05-14 17:39:16.361871+00:00,
829,208,180,PLUMBING,PLUMBING Issue - Unit 506,Bathroom sink clogged in Unit 506,IN_PROGRESS,MEDIUM,2026-05-14 17:39:16.416025+00:00,2026-05-14 17:39:16.416037+00:00,
830,196,168,ELECTRICAL,ELECTRICAL Issue - Unit 404,Circuit breaker keeps tripping in Unit 404,RESOLVED,MEDIUM,2026-05-14 17:39:16.470204+00:00,2026-05-14 17:39:16.470222+00:00,
831,173,145,PLUMBING,PLUMBING Issue - Unit 201,Toilet won't stop running in Unit 201,RESOLVED,MEDIUM,2026-05-14 17:39:16.524456+00:00,2026-05-14 17:39:16.524468+00:00,
832,209,181,PLUMBING,PLUMBING Issue - Unit 507,Water leaking under kitchen sink in Unit 507,RESOLVED,HIGH,2026-05-14 17:39:16.578377+00:00,2026-05-14 17:39:16.578386+00:00,
833,201,173,STRUCTURAL,STRUCTURAL Issue - Unit 409,Crack near window in Unit 409 after heavy rain,IN_PROGRESS,HIGH,2026-05-14 17:39:16.632770+00:00,2026-05-14 17:39:16.632779+00:00,
834,183,155,OTHER,OTHER Issue - Unit 301,Aircon leaking in Unit 301 bedroom,IN_PROGRESS,HIGH,2026-05-14 17:39:16.740848+00:00,2026-05-14 17:39:16.740858+00:00,
835,178,150,STRUCTURAL,STRUCTURAL Issue - Unit 206,Crack near window in Unit 206 after heavy rain,OPEN,LOW,2026-05-14 17:39:16.795543+00:00,2026-05-14 17:39:16.795555+00:00,
836,176,148,PLUMBING,PLUMBING Issue - Unit 204,Low water pressure in shower of Unit 204,RESOLVED,LOW,2026-05-14 17:39:16.905371+00:00,2026-05-14 17:39:16.905383+00:00,
837,179,151,OTHER,OTHER Issue - Unit 207,Aircon leaking in Unit 207 bedroom,IN_PROGRESS,MEDIUM,2026-05-14 17:39:17.014810+00:00,2026-05-14 17:39:17.014823+00:00,
838,188,160,PLUMBING,PLUMBING Issue - Unit 306,Faucet dripping in Unit 306 bathroom,RESOLVED,LOW,2026-05-14 17:39:17.069643+00:00,2026-05-14 17:39:17.069657+00:00,
839,209,181,OTHER,OTHER Issue - Unit 507,Neighbors too noisy during midnight in Unit 507,OPEN,MEDIUM,2026-05-14 17:39:17.124136+00:00,2026-05-14 17:39:17.124154+00:00,
840,180,152,ELECTRICAL,ELECTRICAL Issue - Unit 208,Circuit breaker keeps tripping in Unit 208,RESOLVED,MEDIUM,2026-05-14 17:39:17.178905+00:00,2026-05-14 17:39:17.178917+00:00,
841,193,165,ELECTRICAL,ELECTRICAL Issue - Unit 401,Circuit breaker keeps tripping in Unit 401,RESOLVED,LOW,2026-05-14 17:39:17.234037+00:00,2026-05-14 17:39:17.234050+00:00,
842,177,149,STRUCTURAL,STRUCTURAL Issue - Unit 205,Door frame damaged in Unit 205,RESOLVED,LOW,2026-05-14 17:39:17.288816+00:00,2026-05-14 17:39:17.288827+00:00,
843,207,179,PLUMBING,PLUMBING Issue - Unit 505,Low water pressure in shower of Unit 505,RESOLVED,LOW,2026-05-14 17:39:17.343341+00:00,2026-05-14 17:39:17.343357+00:00,
844,189,161,STRUCTURAL,STRUCTURAL Issue - Unit 307,Floor tiles loose in Unit 307 kitchen,RESOLVED,HIGH,2026-05-14 17:39:17.452394+00:00,2026-05-14 17:39:17.452403+00:00,
845,173,145,OTHER,OTHER Issue - Unit 201,Bad smell in hallway near Unit 201,RESOLVED,MEDIUM,2026-05-14 17:39:17.506784+00:00,2026-05-14 17:39:17.506801+00:00,
846,182,154,PLUMBING,PLUMBING Issue - Unit 210,Faucet dripping in Unit 210 bathroom,IN_PROGRESS,HIGH,2026-05-14 17:39:17.561804+00:00,2026-05-14 17:39:17.561821+00:00,
847,173,145,ELECTRICAL,ELECTRICAL Issue - Unit 201,Bathroom light burned out in Unit 201,IN_PROGRESS,MEDIUM,2026-05-14 17:39:17.616667+00:00,2026-05-14 17:39:17.616684+00:00,
848,187,159,STRUCTURAL,STRUCTURAL Issue - Unit 305,Floor tiles loose in Unit 305 kitchen,OPEN,LOW,2026-05-14 17:39:17.670914+00:00,2026-05-14 17:39:17.670930+00:00,
849,179,151,OTHER,OTHER Issue - Unit 207,Aircon leaking in Unit 207 bedroom,IN_PROGRESS,MEDIUM,2026-05-14 17:39:17.725002+00:00,2026-05-14 17:39:17.725010+00:00,
850,181,153,ELECTRICAL,ELECTRICAL Issue - Unit 209,Bedroom outlet sparks when plugging in charger in Unit 209,RESOLVED,LOW,2026-05-14 17:39:17.779511+00:00,2026-05-14 17:39:17.779524+00:00,
851,203,175,OTHER,OTHER Issue - Unit 501,Cockroaches seen near kitchen cabinet in Unit 501,RESOLVED,HIGH,2026-05-14 17:39:17.833758+00:00,2026-05-14 17:39:17.833767+00:00,
852,194,166,PLUMBING,PLUMBING Issue - Unit 402,Low water pressure in shower of Unit 402,IN_PROGRESS,HIGH,2026-05-14 17:39:17.941945+00:00,2026-05-14 17:39:17.941958+00:00,
853,186,158,OTHER,OTHER Issue - Unit 304,Internet connection unstable in Unit 304,RESOLVED,HIGH,2026-05-14 17:39:17.996507+00:00,2026-05-14 17:39:17.996522+00:00,
854,176,148,OTHER,OTHER Issue - Unit 204,Cockroaches seen near kitchen cabinet in Unit 204,OPEN,MEDIUM,2026-05-14 17:39:18.051395+00:00,2026-05-14 17:39:18.051412+00:00,
855,192,164,OTHER,OTHER Issue - Unit 310,Internet connection unstable in Unit 310,IN_PROGRESS,LOW,2026-05-14 17:39:18.160391+00:00,2026-05-14 17:39:18.160402+00:00,
856,208,180,PLUMBING,PLUMBING Issue - Unit 506,Bathroom sink clogged in Unit 506,IN_PROGRESS,HIGH,2026-05-14 17:39:18.214603+00:00,2026-05-14 17:39:18.214612+00:00,
857,210,182,OTHER,OTHER Issue - Unit 508,Cockroaches seen near kitchen cabinet in Unit 508,OPEN,MEDIUM,2026-05-14 17:39:18.268504+00:00,2026-05-14 17:39:18.268515+00:00,
858,179,151,OTHER,OTHER Issue - Unit 207,Bad smell in hallway near Unit 207,OPEN,MEDIUM,2026-05-14 17:39:18.322808+00:00,2026-05-14 17:39:18.322820+00:00,
859,204,176,ELECTRICAL,ELECTRICAL Issue - Unit 502,Bedroom outlet sparks when plugging in charger in Unit 502,IN_PROGRESS,LOW,2026-05-14 17:39:18.378964+00:00,2026-05-14 17:39:18.378979+00:00,
860,210,182,STRUCTURAL,STRUCTURAL Issue - Unit 508,Floor tiles loose in Unit 508 kitchen,OPEN,HIGH,2026-05-14 17:39:18.433305+00:00,2026-05-14 17:39:18.433319+00:00,
861,183,155,OTHER,OTHER Issue - Unit 301,Neighbors too noisy during midnight in Unit 301,OPEN,MEDIUM,2026-05-14 17:39:18.488510+00:00,2026-05-14 17:39:18.488528+00:00,
862,203,175,PLUMBING,PLUMBING Issue - Unit 501,Faucet dripping in Unit 501 bathroom,RESOLVED,LOW,2026-05-14 17:39:18.542825+00:00,2026-05-14 17:39:18.542840+00:00,
863,175,147,OTHER,OTHER Issue - Unit 203,Internet connection unstable in Unit 203,RESOLVED,LOW,2026-05-14 17:39:18.597654+00:00,2026-05-14 17:39:18.597672+00:00,
864,201,173,STRUCTURAL,STRUCTURAL Issue - Unit 409,Crack near window in Unit 409 after heavy rain,IN_PROGRESS,MEDIUM,2026-05-14 17:39:18.652097+00:00,2026-05-14 17:39:18.652109+00:00,
865,211,183,OTHER,OTHER Issue - Unit 509,Internet connection unstable in Unit 509,RESOLVED,MEDIUM,2026-05-14 17:39:18.714477+00:00,2026-05-14 17:39:18.714493+00:00,
866,200,172,OTHER,OTHER Issue - Unit 408,Neighbors too noisy during midnight in Unit 408,RESOLVED,LOW,2026-05-14 17:39:18.768969+00:00,2026-05-14 17:39:18.768985+00:00,
867,209,181,ELECTRICAL,ELECTRICAL Issue - Unit 507,Circuit breaker keeps tripping in Unit 507,OPEN,LOW,2026-05-14 17:39:18.823732+00:00,2026-05-14 17:39:18.823747+00:00,
868,197,169,STRUCTURAL,STRUCTURAL Issue - Unit 405,Crack near window in Unit 405 after heavy rain,IN_PROGRESS,MEDIUM,2026-05-14 17:39:18.878124+00:00,2026-05-14 17:39:18.878133+00:00,
869,186,158,PLUMBING,PLUMBING Issue - Unit 304,Faucet dripping in Unit 304 bathroom,OPEN,MEDIUM,2026-05-14 17:39:18.932859+00:00,2026-05-14 17:39:18.932871+00:00,
870,199,171,PLUMBING,PLUMBING Issue - Unit 407,Low water pressure in shower of Unit 407,OPEN,MEDIUM,2026-05-14 17:39:18.987510+00:00,2026-05-14 17:39:18.987526+00:00,
871,203,175,OTHER,OTHER Issue - Unit 501,Cockroaches seen near kitchen cabinet in Unit 501,RESOLVED,MEDIUM,2026-05-14 17:39:19.041673+00:00,2026-05-14 17:39:19.041689+00:00,
872,210,182,STRUCTURAL,STRUCTURAL Issue - Unit 508,Ceiling water stain in Unit 508,OPEN,MEDIUM,2026-05-14 17:39:19.095969+00:00,2026-05-14 17:39:19.095984+00:00,
873,210,182,OTHER,OTHER Issue - Unit 508,Cockroaches seen near kitchen cabinet in Unit 508,IN_PROGRESS,LOW,2026-05-14 17:39:19.150204+00:00,2026-05-14 17:39:19.150216+00:00,
874,192,164,ELECTRICAL,ELECTRICAL Issue - Unit 310,Bedroom outlet sparks when plugging in charger in Unit 310,IN_PROGRESS,LOW,2026-05-14 17:39:19.204693+00:00,2026-05-14 17:39:19.204705+00:00,
875,207,179,PLUMBING,PLUMBING Issue - Unit 505,Bathroom sink clogged in Unit 505,OPEN,HIGH,2026-05-14 17:39:19.259123+00:00,2026-05-14 17:39:19.259131+00:00,
876,207,179,OTHER,OTHER Issue - Unit 505,Cockroaches seen near kitchen cabinet in Unit 505,RESOLVED,HIGH,2026-05-14 17:39:19.313486+00:00,2026-05-14 17:39:19.313499+00:00,
877,205,177,ELECTRICAL,ELECTRICAL Issue - Unit 503,Light fixture flickering in Unit 503 living room,RESOLVED,MEDIUM,2026-05-14 17:39:19.368025+00:00,2026-05-14 17:39:19.368037+00:00,
878,188,160,STRUCTURAL,STRUCTURAL Issue - Unit 306,Floor tiles loose in Unit 306 kitchen,IN_PROGRESS,HIGH,2026-05-14 17:39:19.422767+00:00,2026-05-14 17:39:19.422780+00:00,
879,190,162,STRUCTURAL,STRUCTURAL Issue - Unit 308,Wall crack appearing in Unit 308 bedroom,OPEN,MEDIUM,2026-05-14 17:39:19.477135+00:00,2026-05-14 17:39:19.477148+00:00,
880,205,177,PLUMBING,PLUMBING Issue - Unit 503,Toilet won't stop running in Unit 503,RESOLVED,HIGH,2026-05-14 17:39:19.531794+00:00,2026-05-14 17:39:19.531808+00:00,
881,178,150,OTHER,OTHER Issue - Unit 206,Bad smell in hallway near Unit 206,RESOLVED,MEDIUM,2026-05-14 17:39:19.586247+00:00,2026-05-14 17:39:19.586265+00:00,
882,188,160,OTHER,OTHER Issue - Unit 306,Internet connection unstable in Unit 306,RESOLVED,HIGH,2026-05-14 17:39:19.641014+00:00,2026-05-14 17:39:19.641029+00:00,
883,192,164,PLUMBING,PLUMBING Issue - Unit 310,Bathroom sink clogged in Unit 310,RESOLVED,HIGH,2026-05-14 17:39:19.696153+00:00,2026-05-14 17:39:19.696172+00:00,
884,197,169,STRUCTURAL,STRUCTURAL Issue - Unit 405,Door frame damaged in Unit 405,OPEN,LOW,2026-05-14 17:39:19.750947+00:00,2026-05-14 17:39:19.750960+00:00,
885,187,159,PLUMBING,PLUMBING Issue - Unit 305,Toilet won't stop running in Unit 305,OPEN,HIGH,2026-05-14 17:39:19.805380+00:00,2026-05-14 17:39:19.805395+00:00,
886,210,182,PLUMBING,PLUMBING Issue - Unit 508,Bathroom sink clogged in Unit 508,OPEN,MEDIUM,2026-05-14 17:39:19.859962+00:00,2026-05-14 17:39:19.859976+00:00,
887,206,178,STRUCTURAL,STRUCTURAL Issue - Unit 504,Floor tiles loose in Unit 504 kitchen,IN_PROGRESS,MEDIUM,2026-05-14 17:39:19.914378+00:00,2026-05-14 17:39:19.914393+00:00,
888,185,157,PLUMBING,PLUMBING Issue - Unit 303,Faucet dripping in Unit 303 bathroom,RESOLVED,HIGH,2026-05-14 17:39:19.969086+00:00,2026-05-14 17:39:19.969096+00:00,
889,174,146,STRUCTURAL,STRUCTURAL Issue - Unit 202,Wall crack appearing in Unit 202 bedroom,RESOLVED,MEDIUM,2026-05-14 17:39:20.023313+00:00,2026-05-14 17:39:20.023323+00:00,
890,181,153,ELECTRICAL,ELECTRICAL Issue - Unit 209,Light fixture flickering in Unit 209 living room,RESOLVED,HIGH,2026-05-14 17:39:20.077537+00:00,2026-05-14 17:39:20.077550+00:00,
891,177,149,OTHER,OTHER Issue - Unit 205,Neighbors too noisy during midnight in Unit 205,OPEN,LOW,2026-05-14 17:39:20.132613+00:00,2026-05-14 17:39:20.132631+00:00,
892,200,172,OTHER,OTHER Issue - Unit 408,Internet connection unstable in Unit 408,OPEN,HIGH,2026-05-14 17:39:20.187269+00:00,2026-05-14 17:39:20.187288+00:00,
893,202,174,PLUMBING,PLUMBING Issue - Unit 410,Bathroom sink clogged in Unit 410,IN_PROGRESS,HIGH,2026-05-14 17:39:20.241786+00:00,2026-05-14 17:39:20.241801+00:00,
894,201,173,PLUMBING,PLUMBING Issue - Unit 409,Water leaking under kitchen sink in Unit 409,IN_PROGRESS,LOW,2026-05-14 17:39:20.296417+00:00,2026-05-14 17:39:20.296430+00:00,
895,179,151,PLUMBING,PLUMBING Issue - Unit 207,Faucet dripping in Unit 207 bathroom,OPEN,LOW,2026-05-14 17:39:20.351164+00:00,2026-05-14 17:39:20.351205+00:00,
896,175,147,PLUMBING,PLUMBING Issue - Unit 203,Faucet dripping in Unit 203 bathroom,RESOLVED,HIGH,2026-05-14 17:39:20.405563+00:00,2026-05-14 17:39:20.405575+00:00,
897,198,170,ELECTRICAL,ELECTRICAL Issue - Unit 406,Bedroom outlet sparks when plugging in charger in Unit 406,IN_PROGRESS,MEDIUM,2026-05-14 17:39:20.460256+00:00,2026-05-14 17:39:20.460268+00:00,
898,209,181,OTHER,OTHER Issue - Unit 507,Neighbors too noisy during midnight in Unit 507,RESOLVED,LOW,2026-05-14 17:39:20.515170+00:00,2026-05-14 17:39:20.515189+00:00,
899,190,162,STRUCTURAL,STRUCTURAL Issue - Unit 308,Door frame damaged in Unit 308,OPEN,MEDIUM,2026-05-14 17:39:20.569157+00:00,2026-05-14 17:39:20.569166+00:00,
900,206,178,STRUCTURAL,STRUCTURAL Issue - Unit 504,Wall crack appearing in Unit 504 bedroom,OPEN,MEDIUM,2026-05-14 17:39:20.623332+00:00,2026-05-14 17:39:20.623343+00:00,
901,199,171,OTHER,OTHER Issue - Unit 407,Bad smell in hallway near Unit 407,IN_PROGRESS,HIGH,2026-05-14 17:39:20.677861+00:00,2026-05-14 17:39:20.677878+00:00,
902,182,154,PLUMBING,PLUMBING Issue - Unit 210,Low water pressure in shower of Unit 210,OPEN,LOW,2026-05-14 17:39:20.732425+00:00,2026-05-14 17:39:20.732444+00:00,
903,203,175,ELECTRICAL,ELECTRICAL Issue - Unit 501,Power outlet not working in Unit 501,RESOLVED,MEDIUM,2026-05-14 17:39:20.787089+00:00,2026-05-14 17:39:20.787104+00:00,
904,187,159,STRUCTURAL,STRUCTURAL Issue - Unit 305,Wall crack appearing in Unit 305 bedroom,RESOLVED,LOW,2026-05-14 17:39:20.842242+00:00,2026-05-14 17:39:20.842256+00:00,
905,199,171,ELECTRICAL,ELECTRICAL Issue - Unit 407,Bathroom light burned out in Unit 407,RESOLVED,HIGH,2026-05-14 17:39:20.896947+00:00,2026-05-14 17:39:20.896966+00:00,
