request_id,unit_number,description,db_category,ml_label,status,priority,created_at,resolved_at
793,502,Light fixture flickering in Unit 502 living room,ELECTRICAL,ELECTRICAL,IN_PROGRESS,LOW,2026-05-14 17:39:13,
794,308,Neighbors too noisy during midnight in Unit 308,OTHER,NOISE_COMPLAINT,OPEN,LOW,2026-05-14 17:39:13,
795,205,Bedroom outlet sparks when plugging in charger in Unit 205,ELECTRICAL,ELECTRICAL,OPEN,HIGH,2026-05-14 17:39:13,
796,506,Internet connection unstable in Unit 506,OTHER,INTERNET_ISSUE,RESOLVED,MEDIUM,2026-05-14 17:39:13,
797,206,Cockroaches seen near kitchen cabinet in Unit 206,OTHER,HVAC_AC,OPEN,MEDIUM,2026-05-14 17:39:14,
798,202,Internet connection unstable in Unit 202,OTHER,INTERNET_ISSUE,RESOLVED,LOW,2026-05-14 17:39:14,
799,509,Neighbors too noisy during midnight in Unit 509,OTHER,NOISE_COMPLAINT,OPEN,LOW,2026-05-14 17:39:14,
800,206,Aircon leaking in Unit 206 bedroom,OTHER,HVAC_AC,OPEN,MEDIUM,2026-05-14 17:39:14,
801,210,Door frame damaged in Unit 210,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,MEDIUM,2026-05-14 17:39:14,
802,506,Wall crack appearing in Unit 506 bedroom,STRUCTURAL,HVAC_AC,IN_PROGRESS,HIGH,2026-05-14 17:39:14,
803,203,Bathroom sink clogged in Unit 203,PLUMBING,PLUMBING,OPEN,HIGH,2026-05-14 17:39:14,
804,504,Light fixture flickering in Unit 504 living room,ELECTRICAL,ELECTRICAL,OPEN,MEDIUM,2026-05-14 17:39:14,
805,303,Aircon leaking in Unit 303 bedroom,OTHER,HVAC_AC,IN_PROGRESS,HIGH,2026-05-14 17:39:14,
806,404,Bad smell in hallway near Unit 404,OTHER,HVAC_AC,RESOLVED,LOW,2026-05-14 17:39:14,
807,502,Aircon leaking in Unit 502 bedroom,OTHER,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:14,
808,304,Bathroom light burned out in Unit 304,ELECTRICAL,ELECTRICAL,RESOLVED,HIGH,2026-05-14 17:39:14,
809,404,Low water pressure in shower of Unit 404,PLUMBING,PLUMBING,IN_PROGRESS,MEDIUM,2026-05-14 17:39:15,
810,405,Neighbors too noisy during midnight in Unit 405,OTHER,NOISE_COMPLAINT,RESOLVED,HIGH,2026-05-14 17:39:15,
811,203,Bathroom sink clogged in Unit 203,PLUMBING,PLUMBING,RESOLVED,HIGH,2026-05-14 17:39:15,
812,306,Bathroom light burned out in Unit 306,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:15,
813,210,Wall crack appearing in Unit 210 bedroom,STRUCTURAL,HVAC_AC,IN_PROGRESS,HIGH,2026-05-14 17:39:15,
814,209,Cockroaches seen near kitchen cabinet in Unit 209,OTHER,HVAC_AC,RESOLVED,HIGH,2026-05-14 17:39:15,
815,202,Bathroom light burned out in Unit 202,ELECTRICAL,ELECTRICAL,IN_PROGRESS,MEDIUM,2026-05-14 17:39:15,
816,305,Neighbors too noisy during midnight in Unit 305,OTHER,NOISE_COMPLAINT,IN_PROGRESS,MEDIUM,2026-05-14 17:39:15,
817,410,Cockroaches seen near kitchen cabinet in Unit 410,OTHER,HVAC_AC,IN_PROGRESS,MEDIUM,2026-05-14 17:39:15,
818,309,Circuit breaker keeps tripping in Unit 309,ELECTRICAL,ELECTRICAL,OPEN,HIGH,2026-05-14 17:39:15,
819,403,Aircon leaking in Unit 403 bedroom,OTHER,HVAC_AC,RESOLVED,LOW,2026-05-14 17:39:15,
820,309,Door frame damaged in Unit 309,STRUCTURAL,STRUCTURAL_DAMAGE,IN_PROGRESS,HIGH,2026-05-14 17:39:15,
821,401,Door frame damaged in Unit 401,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,HIGH,2026-05-14 17:39:15,
822,507,Door frame damaged in Unit 507,STRUCTURAL,STRUCTURAL_DAMAGE,RESOLVED,LOW,2026-05-14 17:39:15,
823,208,Neighbors too noisy during midnight in Unit 208,OTHER,NOISE_COMPLAINT,RESOLVED,MEDIUM,2026-05-14 17:39:16,
824,306,Crack near window in Unit 306 after heavy rain,STRUCTURAL,HVAC_AC,RESOLVED,LOW,2026-05-14 17:39:16,
825,405,Cockroaches seen near kitchen cabinet in Unit 405,OTHER,HVAC_AC,IN_PROGRESS,MEDIUM,2026-05-14 17:39:16,
826,404,Bathroom sink clogged in Unit 404,PLUMBING,PLUMBING,OPEN,LOW,2026-05-14 17:39:16,
827,304,Aircon leaking in Unit 304 bedroom,OTHER,HVAC_AC,OPEN,LOW,2026-05-14 17:39:16,
828,409,Bathroom light burned out in Unit 409,ELECTRICAL,ELECTRICAL,IN_PROGRESS,HIGH,2026-05-14 17:39:16,
829,506,Bathroom sink clogged in Unit 506,PLUMBING,PLUMBING,IN_PROGRESS,MEDIUM,2026-05-14 17:39:16,
830,404,Circuit breaker keeps tripping in Unit 404,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:16,
831,201,Toilet won't stop running in Unit 201,PLUMBING,PLUMBING,RESOLVED,MEDIUM,2026-05-14 17:39:16,
832,507,Water leaking under kitchen sink in Unit 507,PLUMBING,PLUMBING,RESOLVED,HIGH,2026-05-14 17:39:16,
833,409,Crack near window in Unit 409 after heavy rain,STRUCTURAL,HVAC_AC,IN_PROGRESS,HIGH,2026-05-14 17:39:16,
834,301,Aircon leaking in Unit 301 bedroom,OTHER,HVAC_AC,IN_PROGRESS,HIGH,2026-05-14 17:39:16,
835,206,Crack near window in Unit 206 after heavy rain,STRUCTURAL,HVAC_AC,OPEN,LOW,2026-05-14 17:39:16,
836,204,Low water pressure in shower of Unit 204,PLUMBING,PLUMBING,RESOLVED,LOW,2026-05-14 17:39:16,
837,207,Aircon leaking in Unit 207 bedroom,OTHER,HVAC_AC,IN_PROGRESS,MEDIUM,2026-05-14 17:39:17,
838,306,Faucet dripping in Unit 306 bathroom,PLUMBING,PLUMBING,RESOLVED,LOW,2026-05-14 17:39:17,
839,507,Neighbors too noisy during midnight in Unit 507,OTHER,NOISE_COMPLAINT,OPEN,MEDIUM,2026-05-14 17:39:17,
840,208,Circuit breaker keeps tripping in Unit 208,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:17,
841,401,Circuit breaker keeps tripping in Unit 401,ELECTRICAL,ELECTRICAL,RESOLVED,LOW,2026-05-14 17:39:17,
842,205,Door frame damaged in Unit 205,STRUCTURAL,STRUCTURAL_DAMAGE,RESOLVED,LOW,2026-05-14 17:39:17,
843,505,Low water pressure in shower of Unit 505,PLUMBING,PLUMBING,RESOLVED,LOW,2026-05-14 17:39:17,
844,307,Floor tiles loose in Unit 307 kitchen,STRUCTURAL,STRUCTURAL_DAMAGE,RESOLVED,HIGH,2026-05-14 17:39:17,
845,201,Bad smell in hallway near Unit 201,OTHER,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:17,
846,210,Faucet dripping in Unit 210 bathroom,PLUMBING,PLUMBING,IN_PROGRESS,HIGH,2026-05-14 17:39:17,
847,201,Bathroom light burned out in Unit 201,ELECTRICAL,ELECTRICAL,IN_PROGRESS,MEDIUM,2026-05-14 17:39:17,
848,305,Floor tiles loose in Unit 305 kitchen,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,LOW,2026-05-14 17:39:17,
849,207,Aircon leaking in Unit 207 bedroom,OTHER,HVAC_AC,IN_PROGRESS,MEDIUM,2026-05-14 17:39:17,
850,209,Bedroom outlet sparks when plugging in charger in Unit 209,ELECTRICAL,ELECTRICAL,RESOLVED,LOW,2026-05-14 17:39:17,
851,501,Cockroaches seen near kitchen cabinet in Unit 501,OTHER,HVAC_AC,RESOLVED,HIGH,2026-05-14 17:39:17,
852,402,Low water pressure in shower of Unit 402,PLUMBING,PLUMBING,IN_PROGRESS,HIGH,2026-05-14 17:39:17,
853,304,Internet connection unstable in Unit 304,OTHER,INTERNET_ISSUE,RESOLVED,HIGH,2026-05-14 17:39:17,
854,204,Cockroaches seen near kitchen cabinet in Unit 204,OTHER,HVAC_AC,OPEN,MEDIUM,2026-05-14 17:39:18,
855,310,Internet connection unstable in Unit 310,OTHER,INTERNET_ISSUE,IN_PROGRESS,LOW,2026-05-14 17:39:18,
856,506,Bathroom sink clogged in Unit 506,PLUMBING,PLUMBING,IN_PROGRESS,HIGH,2026-05-14 17:39:18,
857,508,Cockroaches seen near kitchen cabinet in Unit 508,OTHER,HVAC_AC,OPEN,MEDIUM,2026-05-14 17:39:18,
858,207,Bad smell in hallway near Unit 207,OTHER,HVAC_AC,OPEN,MEDIUM,2026-05-14 17:39:18,
859,502,Bedroom outlet sparks when plugging in charger in Unit 502,ELECTRICAL,ELECTRICAL,IN_PROGRESS,LOW,2026-05-14 17:39:18,
860,508,Floor tiles loose in Unit 508 kitchen,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,HIGH,2026-05-14 17:39:18,
861,301,Neighbors too noisy during midnight in Unit 301,OTHER,NOISE_COMPLAINT,OPEN,MEDIUM,2026-05-14 17:39:18,
862,501,Faucet dripping in Unit 501 bathroom,PLUMBING,PLUMBING,RESOLVED,LOW,2026-05-14 17:39:18,
863,203,Internet connection unstable in Unit 203,OTHER,INTERNET_ISSUE,RESOLVED,LOW,2026-05-14 17:39:18,
864,409,Crack near window in Unit 409 after heavy rain,STRUCTURAL,HVAC_AC,IN_PROGRESS,MEDIUM,2026-05-14 17:39:18,
865,509,Internet connection unstable in Unit 509,OTHER,INTERNET_ISSUE,RESOLVED,MEDIUM,2026-05-14 17:39:18,
866,408,Neighbors too noisy during midnight in Unit 408,OTHER,NOISE_COMPLAINT,RESOLVED,LOW,2026-05-14 17:39:18,
867,507,Circuit breaker keeps tripping in Unit 507,ELECTRICAL,ELECTRICAL,OPEN,LOW,2026-05-14 17:39:18,
868,405,Crack near window in Unit 405 after heavy rain,STRUCTURAL,HVAC_AC,IN_PROGRESS,MEDIUM,2026-05-14 17:39:18,
869,304,Faucet dripping in Unit 304 bathroom,PLUMBING,PLUMBING,OPEN,MEDIUM,2026-05-14 17:39:18,
870,407,Low water pressure in shower of Unit 407,PLUMBING,PLUMBING,OPEN,MEDIUM,2026-05-14 17:39:18,
871,501,Cockroaches seen near kitchen cabinet in Unit 501,OTHER,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:19,
872,508,Ceiling water stain in Unit 508,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,MEDIUM,2026-05-14 17:39:19,
873,508,Cockroaches seen near kitchen cabinet in Unit 508,OTHER,HVAC_AC,IN_PROGRESS,LOW,2026-05-14 17:39:19,
874,310,Bedroom outlet sparks when plugging in charger in Unit 310,ELECTRICAL,ELECTRICAL,IN_PROGRESS,LOW,2026-05-14 17:39:19,
875,505,Bathroom sink clogged in Unit 505,PLUMBING,PLUMBING,OPEN,HIGH,2026-05-14 17:39:19,
876,505,Cockroaches seen near kitchen cabinet in Unit 505,OTHER,HVAC_AC,RESOLVED,HIGH,2026-05-14 17:39:19,
877,503,Light fixture flickering in Unit 503 living room,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:19,
878,306,Floor tiles loose in Unit 306 kitchen,STRUCTURAL,STRUCTURAL_DAMAGE,IN_PROGRESS,HIGH,2026-05-14 17:39:19,
879,308,Wall crack appearing in Unit 308 bedroom,STRUCTURAL,HVAC_AC,OPEN,MEDIUM,2026-05-14 17:39:19,
880,503,Toilet won't stop running in Unit 503,PLUMBING,PLUMBING,RESOLVED,HIGH,2026-05-14 17:39:19,
881,206,Bad smell in hallway near Unit 206,OTHER,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:19,
882,306,Internet connection unstable in Unit 306,OTHER,INTERNET_ISSUE,RESOLVED,HIGH,2026-05-14 17:39:19,
883,310,Bathroom sink clogged in Unit 310,PLUMBING,PLUMBING,RESOLVED,HIGH,2026-05-14 17:39:19,
884,405,Door frame damaged in Unit 405,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,LOW,2026-05-14 17:39:19,
885,305,Toilet won't stop running in Unit 305,PLUMBING,PLUMBING,OPEN,HIGH,2026-05-14 17:39:19,
886,508,Bathroom sink clogged in Unit 508,PLUMBING,PLUMBING,OPEN,MEDIUM,2026-05-14 17:39:19,
887,504,Floor tiles loose in Unit 504 kitchen,STRUCTURAL,STRUCTURAL_DAMAGE,IN_PROGRESS,MEDIUM,2026-05-14 17:39:19,
888,303,Faucet dripping in Unit 303 bathroom,PLUMBING,PLUMBING,RESOLVED,HIGH,2026-05-14 17:39:19,
889,202,Wall crack appearing in Unit 202 bedroom,STRUCTURAL,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:20,
890,209,Light fixture flickering in Unit 209 living room,ELECTRICAL,ELECTRICAL,RESOLVED,HIGH,2026-05-14 17:39:20,
891,205,Neighbors too noisy during midnight in Unit 205,OTHER,NOISE_COMPLAINT,OPEN,LOW,2026-05-14 17:39:20,
892,408,Internet connection unstable in Unit 408,OTHER,INTERNET_ISSUE,OPEN,HIGH,2026-05-14 17:39:20,
893,410,Bathroom sink clogged in Unit 410,PLUMBING,PLUMBING,IN_PROGRESS,HIGH,2026-05-14 17:39:20,
894,409,Water leaking under kitchen sink in Unit 409,PLUMBING,PLUMBING,IN_PROGRESS,LOW,2026-05-14 17:39:20,
895,207,Faucet dripping in Unit 207 bathroom,PLUMBING,PLUMBING,OPEN,LOW,2026-05-14 17:39:20,
896,203,Faucet dripping in Unit 203 bathroom,PLUMBING,PLUMBING,RESOLVED,HIGH,2026-05-14 17:39:20,
897,406,Bedroom outlet sparks when plugging in charger in Unit 406,ELECTRICAL,ELECTRICAL,IN_PROGRESS,MEDIUM,2026-05-14 17:39:20,
898,507,Neighbors too noisy during midnight in Unit 507,OTHER,NOISE_COMPLAINT,RESOLVED,LOW,2026-05-14 17:39:20,
899,308,Door frame damaged in Unit 308,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,MEDIUM,2026-05-14 17:39:20,
900,504,Wall crack appearing in Unit 504 bedroom,STRUCTURAL,HVAC_AC,OPEN,MEDIUM,2026-05-14 17:39:20,
901,407,Bad smell in hallway near Unit 407,OTHER,HVAC_AC,IN_PROGRESS,HIGH,2026-05-14 17:39:20,
902,210,Low water pressure in shower of Unit 210,PLUMBING,PLUMBING,OPEN,LOW,2026-05-14 17:39:20,
903,501,Power outlet not working in Unit 501,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:20,
904,305,Wall crack appearing in Unit 305 bedroom,STRUCTURAL,HVAC_AC,RESOLVED,LOW,2026-05-14 17:39:20,
905,407,Bathroom light burned out in Unit 407,ELECTRICAL,ELECTRICAL,RESOLVED,HIGH,2026-05-14 17:39:20,
906,503,Light fixture flickering in Unit 503 living room,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:20,
907,501,Aircon leaking in Unit 501 bedroom,OTHER,HVAC_AC,IN_PROGRESS,LOW,2026-05-14 17:39:21,
908,308,Power outlet not working in Unit 308,ELECTRICAL,ELECTRICAL,RESOLVED,HIGH,2026-05-14 17:39:21,
909,303,Aircon leaking in Unit 303 bedroom,OTHER,HVAC_AC,OPEN,MEDIUM,2026-05-14 17:39:21,
910,307,Aircon leaking in Unit 307 bedroom,OTHER,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:21,
911,405,Door frame damaged in Unit 405,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,MEDIUM,2026-05-14 17:39:21,
912,508,Crack near window in Unit 508 after heavy rain,STRUCTURAL,HVAC_AC,IN_PROGRESS,HIGH,2026-05-14 17:39:21,
913,501,Bedroom outlet sparks when plugging in charger in Unit 501,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:21,
914,310,Faucet dripping in Unit 310 bathroom,PLUMBING,PLUMBING,IN_PROGRESS,MEDIUM,2026-05-14 17:39:21,
915,309,Cockroaches seen near kitchen cabinet in Unit 309,OTHER,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:21,
916,407,Internet connection unstable in Unit 407,OTHER,INTERNET_ISSUE,OPEN,MEDIUM,2026-05-14 17:39:21,
917,308,Faucet dripping in Unit 308 bathroom,PLUMBING,PLUMBING,IN_PROGRESS,LOW,2026-05-14 17:39:21,
918,305,Floor tiles loose in Unit 305 kitchen,STRUCTURAL,STRUCTURAL_DAMAGE,IN_PROGRESS,MEDIUM,2026-05-14 17:39:21,
919,503,Door frame damaged in Unit 503,STRUCTURAL,STRUCTURAL_DAMAGE,IN_PROGRESS,MEDIUM,2026-05-14 17:39:21,
920,404,Water leaking under kitchen sink in Unit 404,PLUMBING,PLUMBING,RESOLVED,MEDIUM,2026-05-14 17:39:21,
921,302,Cockroaches seen near kitchen cabinet in Unit 302,OTHER,HVAC_AC,IN_PROGRESS,LOW,2026-05-14 17:39:21,
922,404,Bedroom outlet sparks when plugging in charger in Unit 404,ELECTRICAL,ELECTRICAL,RESOLVED,HIGH,2026-05-14 17:39:21,
923,507,Bedroom outlet sparks when plugging in charger in Unit 507,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:21,
924,303,Aircon leaking in Unit 303 bedroom,OTHER,HVAC_AC,IN_PROGRESS,MEDIUM,2026-05-14 17:39:21,
925,507,Toilet won't stop running in Unit 507,PLUMBING,PLUMBING,IN_PROGRESS,MEDIUM,2026-05-14 17:39:22,
926,509,Faucet dripping in Unit 509 bathroom,PLUMBING,PLUMBING,OPEN,MEDIUM,2026-05-14 17:39:22,
927,202,Light fixture flickering in Unit 202 living room,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:22,
928,208,Bathroom light burned out in Unit 208,ELECTRICAL,ELECTRICAL,IN_PROGRESS,HIGH,2026-05-14 17:39:22,
929,205,Circuit breaker keeps tripping in Unit 205,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:22,
930,410,Ceiling water stain in Unit 410,STRUCTURAL,STRUCTURAL_DAMAGE,IN_PROGRESS,LOW,2026-05-14 17:39:22,
931,502,Wall crack appearing in Unit 502 bedroom,STRUCTURAL,HVAC_AC,IN_PROGRESS,HIGH,2026-05-14 17:39:22,
932,407,Crack near window in Unit 407 after heavy rain,STRUCTURAL,HVAC_AC,RESOLVED,HIGH,2026-05-14 17:39:22,
933,507,Crack near window in Unit 507 after heavy rain,STRUCTURAL,HVAC_AC,IN_PROGRESS,LOW,2026-05-14 17:39:22,
934,407,Power outlet not working in Unit 407,ELECTRICAL,ELECTRICAL,OPEN,MEDIUM,2026-05-14 17:39:22,
935,302,Cockroaches seen near kitchen cabinet in Unit 302,OTHER,HVAC_AC,RESOLVED,LOW,2026-05-14 17:39:22,
936,408,Circuit breaker keeps tripping in Unit 408,ELECTRICAL,ELECTRICAL,OPEN,MEDIUM,2026-05-14 17:39:22,
937,502,Bedroom outlet sparks when plugging in charger in Unit 502,ELECTRICAL,ELECTRICAL,IN_PROGRESS,LOW,2026-05-14 17:39:22,
938,306,Floor tiles loose in Unit 306 kitchen,STRUCTURAL,STRUCTURAL_DAMAGE,RESOLVED,MEDIUM,2026-05-14 17:39:22,
939,405,Wall crack appearing in Unit 405 bedroom,STRUCTURAL,HVAC_AC,OPEN,HIGH,2026-05-14 17:39:22,
940,508,Low water pressure in shower of Unit 508,PLUMBING,PLUMBING,RESOLVED,HIGH,2026-05-14 17:39:22,
941,302,Wall crack appearing in Unit 302 bedroom,STRUCTURAL,HVAC_AC,OPEN,LOW,2026-05-14 17:39:22,
942,310,Internet connection unstable in Unit 310,OTHER,INTERNET_ISSUE,RESOLVED,MEDIUM,2026-05-14 17:39:22,
943,403,Internet connection unstable in Unit 403,OTHER,INTERNET_ISSUE,OPEN,LOW,2026-05-14 17:39:23,
944,509,Ceiling water stain in Unit 509,STRUCTURAL,STRUCTURAL_DAMAGE,RESOLVED,MEDIUM,2026-05-14 17:39:23,
945,405,Bedroom outlet sparks when plugging in charger in Unit 405,ELECTRICAL,ELECTRICAL,IN_PROGRESS,HIGH,2026-05-14 17:39:23,
946,309,Low water pressure in shower of Unit 309,PLUMBING,PLUMBING,IN_PROGRESS,HIGH,2026-05-14 17:39:23,
947,306,Water leaking under kitchen sink in Unit 306,PLUMBING,PLUMBING,OPEN,LOW,2026-05-14 17:39:23,
948,408,Bad smell in hallway near Unit 408,OTHER,HVAC_AC,IN_PROGRESS,MEDIUM,2026-05-14 17:39:23,
949,302,Bad smell in hallway near Unit 302,OTHER,HVAC_AC,OPEN,HIGH,2026-05-14 17:39:23,
950,407,Cockroaches seen near kitchen cabinet in Unit 407,OTHER,HVAC_AC,IN_PROGRESS,LOW,2026-05-14 17:39:23,
951,301,Water leaking under kitchen sink in Unit 301,PLUMBING,PLUMBING,OPEN,HIGH,2026-05-14 17:39:23,
952,210,Circuit breaker keeps tripping in Unit 210,ELECTRICAL,ELECTRICAL,IN_PROGRESS,LOW,2026-05-14 17:39:23,
953,208,Water leaking under kitchen sink in Unit 208,PLUMBING,PLUMBING,OPEN,HIGH,2026-05-14 17:39:23,
954,406,Power outlet not working in Unit 406,ELECTRICAL,ELECTRICAL,OPEN,HIGH,2026-05-14 17:39:23,
955,305,Internet connection unstable in Unit 305,OTHER,INTERNET_ISSUE,OPEN,MEDIUM,2026-05-14 17:39:23,
956,305,Aircon leaking in Unit 305 bedroom,OTHER,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:23,
957,307,Door frame damaged in Unit 307,STRUCTURAL,STRUCTURAL_DAMAGE,RESOLVED,LOW,2026-05-14 17:39:23,
958,303,Toilet won't stop running in Unit 303,PLUMBING,PLUMBING,RESOLVED,MEDIUM,2026-05-14 17:39:23,
959,210,Wall crack appearing in Unit 210 bedroom,STRUCTURAL,HVAC_AC,IN_PROGRESS,HIGH,2026-05-14 17:39:23,
960,403,Faucet dripping in Unit 403 bathroom,PLUMBING,PLUMBING,OPEN,HIGH,2026-05-14 17:39:23,
961,403,Cockroaches seen near kitchen cabinet in Unit 403,OTHER,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:24,
962,302,Circuit breaker keeps tripping in Unit 302,ELECTRICAL,ELECTRICAL,RESOLVED,HIGH,2026-05-14 17:39:24,
963,310,Floor tiles loose in Unit 310 kitchen,STRUCTURAL,STRUCTURAL_DAMAGE,IN_PROGRESS,HIGH,2026-05-14 17:39:24,
964,404,Door frame damaged in Unit 404,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,LOW,2026-05-14 17:39:24,
965,209,Crack near window in Unit 209 after heavy rain,STRUCTURAL,HVAC_AC,IN_PROGRESS,LOW,2026-05-14 17:39:24,
