tenant_id,unit_number,billing_month,monthly_rent,water_amount,total_due,due_day,days_late,paid_on_time,paid_within_7_days,paid_within_30_days,seriously_delayed,previous_late_count,previous_unpaid_count,average_delay_last_3_months,average_delay_last_6_months,payment_method,partial_payment_flag,risk_label
188,306,2026-01-01,13039.0,2218.5,15257.5,5,0,True,True,True,False,1,0,6.0,6.0,CASH,False,LOW
188,306,2026-04-01,13039.0,2154.6,17540.62,5,40,False,False,False,True,1,1,55.0,55.0,UNKNOWN,False,HIGH
189,307,2026-01-01,8100.0,2394.0,10494.0,10,0,True,True,True,False,1,0,4.0,4.0,GCASH,False,LOW
189,307,2026-04-01,8100.0,2812.5,10912.5,10,0,True,True,True,False,3,0,4.3,4.3,CASH,False,MEDIUM
190,308,2026-01-01,19048.0,1569.15,20617.15,5,0,True,True,True,False,1,0,19.0,19.0,CASH,False,MEDIUM
190,308,2026-04-01,19048.0,3140.55,22188.55,5,0,True,True,True,False,0,0,0,0,CASH,False,LOW
191,309,2026-01-01,15487.0,1744.2,17231.2,15,0,True,True,True,False,2,0,10.0,10.0,CASH,False,LOW
191,309,2026-04-01,15487.0,2764.35,18251.35,15,0,True,True,True,False,1,1,3.0,3.0,GCASH,False,LOW
192,310,2026-01-01,9196.0,2730.15,11926.15,10,0,True,True,True,False,0,0,0,0,GCASH,False,LOW
192,310,2026-04-01,9196.0,1663.65,10859.65,10,13,False,False,True,False,1,1,13.0,13.0,GCASH,False,LOW
193,401,2026-01-01,18241.0,2453.4,20694.4,10,0,True,True,True,False,3,0,32.3,32.3,GCASH,False,MEDIUM
193,401,2026-04-01,18241.0,2400.75,23925.13,10,35,False,False,False,True,2,0,33.5,33.5,UNKNOWN,False,HIGH
194,402,2026-01-01,15261.0,1836.9,17097.9,10,0,True,True,True,False,2,0,30.5,30.5,CASH,False,MEDIUM
194,402,2026-04-01,15261.0,2649.6,17910.6,10,26,False,False,True,False,1,0,7.0,7.0,CASH,False,LOW
195,403,2026-01-01,20093.0,1924.2,22017.2,15,0,True,True,True,False,2,0,6.0,6.0,CASH,False,LOW
195,403,2026-04-01,20093.0,2927.7,23020.7,15,23,False,False,True,False,0,1,0,0,CASH,False,LOW
196,404,2026-01-01,8811.0,1659.15,10470.15,10,0,True,True,True,False,0,0,0,0,CASH,False,LOW
196,404,2026-04-01,8811.0,3122.1,11933.1,10,0,True,True,True,False,0,0,0,0,CASH,False,LOW
197,405,2026-01-01,12907.0,2597.4,15504.4,15,0,True,True,True,False,1,0,28.0,28.0,GCASH,False,MEDIUM
197,405,2026-04-01,12907.0,2763.45,15670.45,15,0,True,True,True,False,1,1,6.0,6.0,GCASH,False,LOW
198,406,2026-01-01,21005.0,1350.0,22355.0,10,0,True,True,True,False,2,0,12.5,12.5,GCASH,False,LOW
198,406,2026-04-01,21005.0,2348.55,23353.55,10,0,True,True,True,False,1,1,6.0,6.0,GCASH,False,LOW
199,407,2026-01-01,9680.0,2039.4,11719.4,5,7,False,True,True,False,0,0,0,0,CASH,False,LOW
199,407,2026-04-01,9680.0,2466.9,12146.9,5,3,False,True,True,False,2,0,6.5,6.5,GCASH,False,LOW
200,408,2026-01-01,14372.0,2785.95,17157.95,15,0,True,True,True,False,3,0,7.0,7.0,GCASH,False,MEDIUM
200,408,2026-04-01,14372.0,1521.0,15893.0,15,0,True,True,True,False,3,0,7.0,7.0,CASH,False,MEDIUM
201,409,2026-01-01,24361.0,1999.35,26360.35,5,0,True,True,True,False,1,0,1.0,1.0,CASH,False,LOW
201,409,2026-04-01,24361.0,1457.55,25818.55,5,0,True,True,True,False,1,0,60.0,60.0,CASH,False,MEDIUM
202,410,2026-01-01,15982.0,1441.35,17423.35,10,0,True,True,True,False,1,0,5.0,5.0,CASH,False,LOW
202,410,2026-04-01,15982.0,2380.5,18362.5,10,0,True,True,True,False,1,1,13.0,13.0,CASH,False,LOW
203,501,2026-01-01,11675.0,2133.45,13808.45,15,2,False,True,True,False,2,0,10.0,10.0,GCASH,False,LOW
203,501,2026-04-01,11675.0,2210.85,13885.85,15,51,False,False,False,True,3,0,2.3,2.3,GCASH,False,HIGH
204,502,2026-01-01,10789.0,3272.85,14061.85,15,0,True,True,True,False,2,0,28.0,28.0,CASH,False,MEDIUM
204,502,2026-04-01,10789.0,2528.55,13317.55,15,0,True,True,True,False,1,0,40.0,40.0,GCASH,False,MEDIUM
205,503,2026-01-01,8325.0,1820.7,10145.7,5,0,True,True,True,False,3,0,4.0,4.0,CASH,False,MEDIUM
205,503,2026-04-01,8325.0,2028.15,11851.65,5,40,False,False,False,True,2,0,5.5,5.5,UNKNOWN,False,HIGH
206,504,2026-01-01,13339.0,2412.45,15751.45,15,0,True,True,True,False,0,0,0,0,GCASH,False,LOW
206,504,2026-04-01,13339.0,1955.7,17295.55,15,30,False,False,False,False,0,0,0,0,UNKNOWN,False,LOW
207,505,2026-01-01,12137.0,1390.95,13527.95,10,0,True,True,True,False,3,0,9.7,9.7,CASH,False,MEDIUM
207,505,2026-04-01,12137.0,3186.0,17507.66,10,35,False,False,False,True,1,0,2.0,2.0,UNKNOWN,False,HIGH
208,506,2026-01-01,18152.0,1660.05,19812.05,15,0,True,True,True,False,4,0,27.0,23.0,CASH,False,MEDIUM
208,506,2026-04-01,18152.0,2096.1,20248.1,15,5,False,True,True,False,3,0,27.0,27.0,CASH,False,MEDIUM
209,507,2026-01-01,10986.0,3221.55,14207.55,10,0,True,True,True,False,0,0,0,0,CASH,False,LOW
209,507,2026-04-01,10986.0,1350.0,12336.0,10,0,True,True,True,False,1,0,2.0,2.0,GCASH,False,LOW
210,508,2026-01-01,15393.0,1579.5,16972.5,15,0,True,True,True,False,2,0,32.5,32.5,CASH,False,MEDIUM
210,508,2026-04-01,15393.0,2205.45,19907.4,15,30,False,False,False,False,1,0,60.0,60.0,UNKNOWN,False,MEDIUM
211,509,2026-01-01,17289.0,2261.7,19550.7,10,0,True,True,True,False,2,0,14.5,14.5,GCASH,False,MEDIUM
211,509,2026-04-01,17289.0,2641.95,23042.97,10,35,False,False,False,True,2,1,14.5,14.5,UNKNOWN,False,HIGH
